date,Ibex 35,ibex 35 down,credito,recesión,Ibex 35%,ibex 35 down%,credito%,recesión%
2015-06-18,50,99,63,9,-3.85,9900000.0,-4.55,0.0
2015-06-19,48,0,61,9,-4.0,-100.0,-3.17,0.0
2015-06-20,11,0,44,31,-77.08,0.0,-27.87,244.42
2015-06-21,5,0,35,10,-54.54,0.0,-20.45,-67.74
2015-06-22,83,0,63,67,1559.69,0.0,80.0,569.94
2015-06-23,78,0,65,34,-6.02,0.0,3.17,-49.25
2015-06-24,57,0,61,9,-26.92,0.0,-6.15,-73.53
2015-06-25,58,0,64,26,1.75,0.0,4.92,188.87
2015-06-26,51,0,61,18,-12.07,0.0,-4.69,-30.77
2015-06-27,9,0,44,41,-82.35,0.0,-27.87,127.77
2015-06-28,12,0,39,10,33.33,0.0,-11.36,-75.61
2015-06-29,100,0,60,42,733.27,0.0,53.84,319.97
2015-06-30,91,0,67,43,-9.0,0.0,11.67,2.38
2015-07-01,81,0,68,9,-10.99,0.0,1.49,-79.07
2015-07-02,64,0,64,26,-20.99,0.0,-5.88,188.87
2015-07-03,64,0,64,83,0.0,0.0,0.0,219.22
2015-07-04,8,0,44,21,-87.5,0.0,-31.25,-74.7
2015-07-05,8,0,37,21,0.0,0.0,-15.91,0.0
2015-07-06,90,0,65,25,1024.87,0.0,75.67,19.05
2015-07-07,73,0,67,25,-18.89,0.0,3.08,0.0
2015-07-08,78,0,68,34,6.85,0.0,1.49,36.0
2015-07-09,71,0,63,26,-8.97,0.0,-7.35,-23.53
2015-07-10,85,0,62,27,19.72,0.0,-1.59,3.85
2015-07-11,13,0,46,21,-84.7,0.0,-25.81,-22.22
2015-07-12,8,0,37,31,-38.46,0.0,-19.56,47.62
2015-07-13,75,0,66,8,837.4,0.0,78.38,-74.19
